Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Garden surface,Terrace surface,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Type of building,How many fireplaces?,Furnished
20241711,599500€,4,160,Hyper equipped,3,1482,60,3090,overijse,for-sale,house,house,,,
20241707,559000€,3,228,Installed,5,,,2950,kapellen,for-sale,house,house,,,
20241700,160000€,2,227,Installed,3,,,5500,dinant,for-sale,house,house,,,
20241699,469000€,3,225,,4,,,2570,duffel,for-sale,house,house,All kind,,
20241697,365000€,3,184,Installed,3,,,3840,borgloon,for-sale,house,house,,,
20241696,488000€,,,,,,,1800,vilvoorde,for-sale,new-real-estate-project-houses,house,House,,
20241693,785000€,3,321,Hyper equipped,5,266,,9100,sint-niklaas,for-sale,house,house,,,
20241692,Starting price : 180000€,4,246,Installed,4,,,1470,bousval,for-sale,villa,house,,1,
20241689,215000€,,,,4,,,4030,grivegnee,for-sale,house,house,,,
20241687,1060000€,4,426,USA hyper equipped,5,1,1,3300,tienen,for-sale,villa,house,Villa,1,
20241684,169000€,3,131,Semi equipped,2,450,50,4520,huccorgne,for-sale,house,house,,,
20241679,185000€,2,140,Installed,3,36,,7700,mouscron,for-sale,house,house,,,No
20241676,449000€,2,198,Hyper equipped,3,,,2660,hoboken,for-sale,house,house,,,
20241675,489000€,2,193,Hyper equipped,5,,,2940,hoevenen,for-sale,house,house,,,
20241673,335000€,4,140,Installed,4,1350,20,6560,bersillies-labbaye,for-sale,villa,house,,1,No
20241671,269999€,2,,USA hyper equipped,3,1,25,6200,chatelet,for-sale,house,house,House,,
20224081,303384€,3,140,,3,,,3650,dilsen-stokkem,for-sale,house,house,,,
20241630,449000€,,179,,3,,,9100,sint-niklaas,for-sale,mansion,house,,,
20241628,Starting price : 95000€,4,75,,2,,,4920,harze,for-sale,bungalow,house,,,
20241626,259000€,4,142,Installed,3,1102,,6690,vielsalm,for-sale,house,house,,,
20241624,439000€,2,261,Semi equipped,9,,,2060,antwerpen,for-sale,apartment-block,house,,,
20241620,250000€,,,,6,,,4910,polleur,for-sale,house,house,,1,
20241619,800000€,,,,3,,,4910,polleur,for-sale,house,house,,6,
20241617,499000€,4,188,Installed,3,,,3680,maaseik,for-sale,house,house,,,
20241615,398500€,3,160,,3,,,1440,braine-le-chateau,for-sale,house,house,House,,No
20241614,295000€,4,140,Not installed,3,220,18,4342,awans,for-sale,villa,house,,,No
20241610,440000€,2,195,Hyper equipped,4,,,8000,brugge,for-sale,house,house,,,No
20241609,384950€,2,160,Semi equipped,3,70,,2650,edegem,for-sale,house,house,,,
20241608,620000€,2,210,,5,,1,1620,drogenbos,for-sale,house,house,All kind,,
20241604,440000€,2,195,Hyper equipped,4,,,8310,assebroek,for-sale,house,house,,,No
