Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Furnished,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Terrace surface,Garden surface,Type of building,How many fireplaces?
20106737,595000€,4,250,Hyper equipped,3,No,1790,affligem,for-sale,villa,house,,,,
20157859,395000€,2,170,Semi equipped,3,No,1702,dilbeek-groot-bijgaarden,for-sale,house,house,8,,,
20187523,365000€,2,177,Installed,3,No,1730,asse,for-sale,house,house,,104,,
20237634,415000€,3,180,Hyper equipped,4,No,1980,zemst,for-sale,house,house,,,House,
20197863,138000€,2,182,Semi equipped,2,,6560,erquelinnes,for-sale,house,house,,,,
20237633,325000€,3,150,Semi equipped,3,,1861,meise,for-sale,house,house,,,,
20237631,525000€,,228,Installed,5,,9500,geraardsbergen,for-sale,house,house,,,,1
20237630,525000€,,228,Installed,5,,9500,geraardsbergen,for-sale,mixed-use-building,house,,,,1
20237627,260000€,3,140,Installed,4,No,4633,soumagne,for-sale,house,house,72,630,,
20237615,255000€,2,310,Installed,5,Yes,4800,verviers,for-sale,house,house,,,House,
20237611,415000€,4,170,Installed,3,,1390,grez-doiceau,for-sale,house,house,,525,,1
20237607,220000€,3,,Installed,2,,8560,wevelgem,for-sale,house,house,1,1,All kind,
20237606,289000€,,140,,3,,6180,courcelles,for-sale,house,house,,,,
20237602,499000€,2,190,USA hyper equipped,4,,1930,zaventem,for-sale,house,house,,180,,
20237594,180000€,,185,,4,,5500,dinant,for-sale,town-house,house,,,,
20237592,1195000€,4,385,Hyper equipped,3,,9300,aalst,for-sale,house,house,,,,
20237587,311000€,,,,5,,1745,opwijk,for-sale,house,house,,,,
20237582,299000€,2,140,Semi equipped,3,No,1030,schaerbeek,for-sale,house,house,,,,
20131776,119000€,2,,,4,No,6030,charleroi-marchienne-au-pont,for-sale,house,house,,,,
20111096,450000€,4,200,,3,,9230,wetteren,for-sale,villa,house,,,,
20237572,295000€,4,150,,2,,5001,belgrade,for-sale,house,house,10,,,
20237573,295000€,4,150,,2,,5000,namur,for-sale,house,house,10,,,
11356351,2250000€,4,400,,5,,1640,rhode-saint-genese,for-sale,house,house,,,,
20237570,395000€,3,170,Hyper equipped,3,,2627,schelle,for-sale,house,house,,60,,
20237569,199000€,2,149,Installed,3,No,4920,aywaille,for-sale,house,house,,,,
20173980,425000€,2,185,,3,No,1410,waterloo,for-sale,house,house,,,House,
